SUBSTATION,SETTLEMENT_LOAD_ZONE
BUBORA,LZ_SOUTH
DUPV1,LZ_SOUTH
HWF,LZ_WEST
VICTORIA,LZ_SOUTH
F5,LZ_SOUTH
DOWGEN,LZ_HOUSTON
LOOKOUT,LZ_NORTH
PRSPERO2,LZ_WEST
SHELBY,LZ_NORTH
MRSDO,LZ_NORTH
NCO,LZ_HOUSTON
CNPOI,LZ_WEST
ENDPARKS,LZ_WEST
SANDRSON,LZ_WEST
TNDOWNIE,LZ_WEST
MAYFD,LZ_NORTH
CHISMGRD,LZ_NORTH
REDBF,LZ_WEST
E3,LZ_SOUTH
TZPOI,LZ_WEST
PAYNE,LZ_NORTH
LKBLT,LZ_NORTH
MADERO,LZ_SOUTH
NEVAD_RC,LZ_NORTH
LNCRK,LZ_WEST
CAMPBELL,LZ_NORTH
HHOLLOW3,LZ_WEST
ROSELAND,LZ_NORTH
IOWPK,LZ_WEST
MOZART,LZ_WEST
DOW,LZ_HOUSTON
COMBINRC,LZ_NORTH
SL,LZ_HOUSTON
A5,LZ_SOUTH
W1,LZ_SOUTH
BIGHIL,LZ_WEST
X4,LZ_SOUTH
MILTON,LZ_SOUTH
L2,LZ_SOUTH
CYPRCR,LZ_SOUTH
MERIDIAN,LZ_NORTH
HUTTO,LZ_SOUTH
BRP_PBL2,LZ_SOUTH
HUTCH,LZ_NORTH
MOULSO,LZ_SOUTH
FM237Y,LZ_SOUTH
FRNYW_RC,LZ_NORTH
NF_BRP,LZ_SOUTH
TKWSW,LZ_WEST
NA,LZ_HOUSTON
CSEC,LZ_WEST
ROUTE_66,LZ_WEST
GAMBIT,LZ_HOUSTON
BHILL,LZ_WEST
SPLAIN2,LZ_WEST
MIRASOLE,LZ_SOUTH
TAYGETE2,LZ_WEST
SOLSTICE,LZ_WEST
CFLATS,LZ_WEST
WLVSW,LZ_WEST
IR,LZ_HOUSTON
RUS,LZ_HOUSTON
SEGUIN,LZ_SOUTH
YELWJCKT,LZ_WEST
THOMASTN,LZ_SOUTH
OLEANDER,LZ_SOUTH
ALMC,LZ_WEST
RDWELLS,LZ_NORTH
DUNSW,LZ_WEST
BLBSW,LZ_WEST
BLSUMMIT,LZ_WEST
WEBBER_S,LZ_SOUTH
SLCNHLS,LZ_SOUTH
RLKSW,LZ_WEST
WDDSW,LZ_NORTH
BUCHAN,LZ_SOUTH
TRSES,LZ_NORTH
RUSSEKST,LZ_WEST
WHITFLAT,LZ_WEST
REROCK,LZ_WEST
ESPERA,LZ_SOUTH
TKWSW1,LZ_WEST
BAKESW,LZ_WEST
CAPRIDGE,LZ_WEST
PINNAC,LZ_WEST
SOUTHMOS,LZ_SOUTH
UCC_COGN,LZ_HOUSTON
NCARBIDE,LZ_SOUTH
SOUTHBRA,LZ_SOUTH
WHMESA,LZ_WEST
CEDROHIL,LZ_SOUTH
TAM,LZ_NORTH
TUNACR,LZ_WEST
BLUMEN,LZ_SOUTH
BRUNDGS,LZ_SOUTH
LONG,LZ_NORTH
LOSTPINE,LZ_SOUTH
RICOCHET,LZ_NORTH
RILEY,LZ_WEST
LOBO,LZ_SOUTH
NOTSW,LZ_WEST
U4,LZ_SOUTH
D0,LZ_SOUTH
JACKCNTY,LZ_NORTH
WIRTZ,LZ_SOUTH
GALOTA,LZ_SOUTH
BRINKER,LZ_NORTH
CIEN,LZ_WEST
BONBRAE,LZ_NORTH
COOPERCK,LZ_NORTH
N_LAKE_D,LZ_NORTH
FTWORTH,LZ_NORTH
LOCUST_D,LZ_NORTH
MOSSW,LZ_WEST
ODEHV,LZ_WEST
KEO,LZ_WEST
STILES,LZ_WEST
BARL,LZ_WEST
COMSO,LZ_NORTH
BEECREEK,LZ_SOUTH
PECV,LZ_WEST
BLUEACRE,LZ_WEST
P66SUB12,LZ_HOUSTON
BRP_ZPT1,LZ_SOUTH
MOTORM,LZ_WEST
SPTX12B,LZ_WEST
BNDRA,LZ_NORTH
EDNAS,LZ_SOUTH
WSINTOS,LZ_SOUTH
SILVER_H,LZ_NORTH
89NWK,LZ_NORTH
CK,LZ_HOUSTON
DESSAU,LZ_SOUTH
ECEC,LZ_WEST
STHLMESA,LZ_WEST
PALMAS,LZ_SOUTH
A3,LZ_SOUTH
A4,LZ_SOUTH
HENDRICK,LZ_WEST
ABBOT,LZ_NORTH
ABBYBEND,LZ_NORTH
CANYONRO,LZ_WEST
DYESS1AB,LZ_WEST
DYESS2AB,LZ_WEST
DYESS3AB,LZ_WEST
ABEAST,LZ_WEST
HARTFORD,LZ_WEST
ABINDUST,LZ_WEST
ABLSPRRC,LZ_NORTH
MULBERRY,LZ_WEST
MAPLESTR,LZ_WEST
ABNTHWST,LZ_WEST
OILMILL,LZ_WEST
OVERSTRE,LZ_WEST
ABPOWERS,LZ_WEST
ABRRD,LZ_NORTH
ROBERSON,LZ_WEST
SOUTHABI,LZ_WEST
ABWALNUT,LZ_WEST
WTEXGULF,LZ_WEST
ACACIA,LZ_WEST
ACH,LZ_HOUSTON
ACRLY,LZ_WEST
ALYNT,LZ_WEST
ACKRLY,LZ_WEST
ACME,LZ_WEST
ACT,LZ_NORTH
ADERHOLD,LZ_SOUTH
ADK,LZ_HOUSTON
ADMDS,LZ_WEST
ADISN,LZ_NORTH
ADVANCE1,LZ_NORTH
ADVANCE,LZ_SOUTH
AD,LZ_HOUSTON
AEEC,LZ_WEST
STILLMAN,LZ_SOUTH
AE,LZ_HOUSTON
AFTON,LZ_WEST
AF,LZ_HOUSTON
AGNES,LZ_NORTH
REDGATE,LZ_SOUTH
AGUAYO,LZ_NORTH
AILEEN,LZ_WEST
AIRPRTRD,LZ_WEST
AIRCO,LZ_NORTH
AIRLINE,LZ_SOUTH
ARLQD,LZ_NORTH
ARLQE,LZ_NORTH
AIRPK,LZ_WEST
AIRPORT,LZ_SOUTH
ARPRD,LZ_NORTH
AIRP,LZ_WEST
AIR_LIQC,LZ_SOUTH
AI,LZ_HOUSTON
AJAXWIND,LZ_WEST
AJO,LZ_SOUTH
WINDMILL,LZ_WEST
AJ_SWOPE,LZ_WEST
HUD,LZ_HOUSTON
AK,LZ_HOUSTON
P1,LZ_SOUTH
ALAZAN,LZ_SOUTH
ALBANY,LZ_WEST
ALBNY_FD,LZ_WEST
ALCOA,LZ_SOUTH
ALCON,LZ_NORTH
ALCORN,LZ_NORTH
ANTSS_RC,LZ_NORTH
ALDTU,LZ_NORTH
ALEDO,LZ_NORTH
ALGODON,LZ_SOUTH
ALHUB_RC,LZ_NORTH
ALIBATES,LZ_WEST
ALICE,LZ_SOUTH
ALIQUING,LZ_SOUTH
ALKLK,LZ_WEST
